time_ns,dec_i_data,dec_o_valid,dec_o_data,int_i_data,interp_o_valid,interp_o_data
2785.0,224,0,48307,219,1,44185
2795.0,224,0,48307,219,1,44282
2805.0,224,0,48307,219,1,44378
2815.0,225,0,48307,219,1,44474
2825.0,225,0,48307,219,1,44570
2835.0,225,0,48307,219,1,44666
2845.0,225,0,48307,219,1,44761
2855.0,226,0,48307,219,1,44857
2865.0,226,0,48307,219,1,44952
2875.0,226,0,48307,219,1,45047
2885.0,226,0,48307,219,1,45141
2895.0,227,0,48307,219,1,45236
2905.0,227,0,48307,219,1,45330
2915.0,227,0,48307,219,1,45425
2925.0,227,0,48307,219,1,45519
2935.0,228,0,48307,219,1,45612
2945.0,228,0,48307,219,1,45706
2955.0,228,0,48307,219,1,45799
2965.0,228,0,48307,219,1,45893
2975.0,229,0,48307,219,1,45986
2985.0,229,0,48307,219,1,46079
2995.0,229,0,48307,219,1,46171
3005.0,229,0,48307,219,1,46264
3015.0,230,0,48307,219,1,46356
3025.0,230,0,48307,219,1,46448
3035.0,230,0,48307,219,1,46540
3045.0,230,0,48307,219,1,46632
3055.0,231,0,48307,219,1,46723
3065.0,231,0,48307,219,1,46815
3075.0,231,0,48307,219,1,46906
3085.0,231,0,48307,219,1,46997
3095.0,231,0,48307,219,1,47088
3105.0,232,0,48307,219,1,47178
3115.0,232,0,48307,219,1,47269
3125.0,232,0,48307,219,1,47359
3135.0,232,0,48307,219,1,47449
3145.0,233,0,48307,219,1,47539
3155.0,233,0,48307,219,1,47629
3165.0,233,0,48307,219,1,47718
3175.0,233,0,48307,219,1,47808
3185.0,233,0,48307,219,1,47897
3195.0,234,0,48307,219,1,47986
3205.0,234,0,48307,219,1,48074
3215.0,234,0,48307,219,1,48163
3225.0,234,0,48307,219,1,48251
3235.0,235,0,48307,219,1,48340
3245.0,235,0,48307,219,1,48428
3255.0,235,1,53660,219,1,48515
3265.0,235,0,53660,235,1,48603
3275.0,235,0,53660,235,1,48690
3285.0,236,0,53660,235,1,48778
3295.0,236,0,53660,235,1,48865
3305.0,236,0,53660,235,1,48952
3315.0,236,0,53660,235,1,49038
3325.0,236,0,53660,235,1,49125
3335.0,237,0,53660,235,1,49211
3345.0,237,0,53660,235,1,49297
3355.0,237,0,53660,235,1,49383
3365.0,237,0,53660,235,1,49469
3375.0,238,0,53660,235,1,49554
3385.0,238,0,53660,235,1,49640
3395.0,238,0,53660,235,1,49725
3405.0,238,0,53660,235,1,49810
3415.0,238,0,53660,235,1,49895
3425.0,239,0,53660,235,1,49979
3435.0,239,0,53660,235,1,50064
3445.0,239,0,53660,235,1,50148
3455.0,239,0,53660,235,1,50232
3465.0,239,0,53660,235,1,50316
3475.0,239,0,53660,235,1,50400
3485.0,240,0,53660,235,1,50483
3495.0,240,0,53660,235,1,50567
3505.0,240,0,53660,235,1,50650
3515.0,240,0,53660,235,1,50733
3525.0,240,0,53660,235,1,50815
3535.0,241,0,53660,235,1,50898
3545.0,241,0,53660,235,1,50980
3555.0,241,0,53660,235,1,51063
3565.0,241,0,53660,235,1,51145
3575.0,241,0,53660,235,1,51226
3585.0,242,0,53660,235,1,51308
3595.0,242,0,53660,235,1,51389
3605.0,242,0,53660,235,1,51471
3615.0,242,0,53660,235,1,51552
3625.0,242,0,53660,235,1,51633
3635.0,242,0,53660,235,1,51713
3645.0,243,0,53660,235,1,51794
3655.0,243,0,53660,235,1,51874
3665.0,243,0,53660,235,1,51954
3675.0,243,0,53660,235,1,52034
3685.0,243,0,53660,235,1,52114
3695.0,243,0,53660,235,1,52193
3705.0,244,0,53660,235,1,52273
3715.0,244,0,53660,235,1,52352
3725.0,244,0,53660,235,1,52431
3735.0,244,0,53660,235,1,52510
3745.0,244,0,53660,235,1,52588
3755.0,244,0,53660,235,1,52667
3765.0,245,0,53660,235,1,52745
3775.0,245,0,53660,235,1,52823
3785.0,245,0,53660,235,1,52901
3795.0,245,0,53660,235,1,52979
3805.0,245,0,53660,235,1,53056
3815.0,245,0,53660,235,1,53134
3825.0,245,0,53660,235,1,53211
3835.0,246,0,53660,235,1,53288
3845.0,246,0,53660,235,1,53364
3855.0,246,0,53660,235,1,53441
3865.0,246,0,53660,235,1,53517
3875.0,246,0,53660,235,1,53594
3885.0,246,0,53660,235,1,53670
3895.0,247,1,58173,235,1,53745
3905.0,247,0,58173,247,1,53821
3915.0,247,0,58173,247,1,53896
3925.0,247,0,58173,247,1,53972
3935.0,247,0,58173,247,1,54047
3945.0,247,0,58173,247,1,54122
3955.0,247,0,58173,247,1,54196
3965.0,247,0,58173,247,1,54271
3975.0,248,0,58173,247,1,54345
3985.0,248,0,58173,247,1,54419
3995.0,248,0,58173,247,1,54493
4005.0,248,0,58173,247,1,54567
4015.0,248,0,58173,247,1,54640
4025.0,248,0,58173,247,1,54714
4035.0,248,0,58173,247,1,54787
4045.0,249,0,58173,247,1,54860
